R,G,B,x,y
0.85,0.18,0.09,245.08,193.95
0.11,0.71,0.73,374.59,293.29
0.8,0.81,0.08,247.65,353.65
0.5,0.16,0.63,340.62,170.03
0.12,0.71,0.71,368.74,288.17
0.89,0.7,0.12,209.43,303.59
0.59,0.64,0.34,310.97,247.05
0.46,0.84,0.16,306.03,327.74
0.88,0.2,0.12,165.26,126.79
0.12,0.75,0.79,388.55,306.84
0.14,0.34,0.81,437.13,230.9
0.26,0.11,0.57,423.53,132.73
0.76,0.4,0.29,296.57,217.74
0.21,0.15,0.65,469.7,152.82
0.17,0.24,0.73,395.9,211.49
0.44,0.29,0.66,342.19,203.79
0.67,0.17,0.47,310.02,179.44
0.17,0.14,0.62,432.12,175.54
0.73,0.15,0.56,296.09,127.99
0.84,0.45,0.1,218.5,253.5
0.12,0.64,0.87,404.51,275.36
0.13,0.41,0.84,431.78,246.29
0.57,0.39,0.51,321.44,215.63
0.8,0.65,0.1,154.61,362.6
0.17,0.26,0.74,496.66,204.32
0.85,0.14,0.12,256.21,181.07
0.86,0.34,0.09,245.46,222.33
0.8,0.14,0.3,284.81,174.61
0.33,0.31,0.71,354.81,211.59
0.09,0.57,0.56,443.4,407.74
0.86,0.09,0.15,221.5,113.45
0.69,0.66,0.25,299.72,249.53
0.89,0.76,0.11,222.44,322.12
0.21,0.33,0.75,370.03,221.05
0.24,0.11,0.58,415.93,151.89
0.06,0.44,0.34,425.67,433.15
0.1,0.57,0.84,474.81,306.49
0.83,0.51,0.12,168.89,268.48
0.15,0.31,0.79,434.65,225.48
0.5,0.84,0.19,305.81,314.81
0.49,0.15,0.65,353.58,144.38
0.89,0.75,0.11,222.07,318.1
0.09,0.55,0.81,486.04,316.35
0.5,0.27,0.61,333.86,200.67
0.46,0.18,0.64,343.69,181.17
0.69,0.76,0.19,296.48,268.29
0.21,0.55,0.71,355,247.81
0.89,0.12,0.13,221.02,132.44
0.56,0.17,0.65,332.3,81.41
0.84,0.79,0.08,245.29,332.61
0.48,0.84,0.21,309.92,311.06
0.77,0.55,0.11,130.79,326.74
0.42,0.53,0.55,331.4,235.84
0.57,0.79,0.26,307.97,276.03
0.17,0.16,0.66,415.7,190.17
0.16,0.35,0.8,476.91,227.5
0.12,0.55,0.87,436.78,271.59
0.15,0.37,0.8,487.03,234.93
0.35,0.74,0.16,306.87,394.56
